,cost,feasible,status,costs,actions,upperbound,lowerbound,gap,iterations,nodes_processed,nodes_remaining,runtime,total_cost
1,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.0953  0.0598 -0.     -0.      0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.300e+01 -1.281e+03  0.000e+00
 -0.000e+00  0.000e+00 -0.000e+00 -0.000e+00  0.000e+00  1.000e+00
 -0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.10582467260366146,0.10582467260366146,0.0,56,0,0,0.0625,0.3790669404255571
3,0.04496816126516234,True,integer optimal solution,"[ 0.      0.      0.      0.045   0.0418 -0.      0.      0.      0.
 -0.      0.     -0.     -0.     -0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.    ]","[    0.     0.     0.    -6. -1280.     0.     0.     0.     0.    -0.
     0.    -0.    -0.    -0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.]",0.04499955275931241,0.04499955275931241,0.0,48,0,0,0.0625,0.08677529290587227
4,0.10566663382503758,True,integer optimal solution,"[ 0.      0.      0.      0.      0.0522  0.      0.     -0.      0.
 -0.      0.     -0.     -0.      0.1057 -0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[   0.    0.    0.    0. -752.    0.    0.    0.    0.   -0.    0.   -0.
   -0.    1.   -0.    0.    0.    0.    0.    1.    0.    0.    0.    0.
   -0.    0.]",0.10582878284882112,0.10582878284882112,0.0,47,0,0,0.0,0.21323617760580238
5,0.07029743079606776,True,integer optimal solution,"[ 0.      0.      0.      0.0703  0.0692 -0.      0.      0.      0.
  0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -6.000e+00 -2.591e+03  0.000e+00
  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.07042782665646267,0.07042782665646267,0.0,34,0,0,0.0,0.2578191209184947
7,0.06988519613871169,True,integer optimal solution,"[ 0.      0.      0.      0.0609  0.0699 -0.     -0.      0.     -0.
  0.      0.      0.063  -0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -5.000e+00 -1.726e+03  0.000e+00
 -0.000e+00  0.000e+00 -0.000e+00  0.000e+00  0.000e+00  1.000e+00
 -0.000e+00 -0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 -0.000e+00  0.000e+00]",0.0700560428272061,0.0700560428272061,0.0,44,0,0,0.0,0.24916121272341285
9,0.1056666338250376,True,integer optimal solution,"[ 0.      0.      0.      0.      0.      0.      0.     -0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.     -0.      0.     -0.      0.    ]","[ 0.  0.  0.  0.  0.  0. -0.  0. -0. -0.  0.  1. -0.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.10569173755598112,0.10569173755598113,0.0,58,0,0,0.0,0.22399993889223502
10,0.15637639129963637,True,integer optimal solution,"[ 0.      0.      0.     -0.     -0.      0.1564 -0.      0.     -0.
 -0.      0.      0.063  -0.      0.1057  0.      0.      0.      0.
  0.      0.0553  0.      0.      0.     -0.     -0.      0.    ]","[ 0.  0.  0.  0.  0. -1. -0.  0. -0. -0.  0.  1. -0.  1.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.15890507778697044,0.15890507778697044,0.0,36,0,0,0.0625,0.3803763301918714
11,0.16098740292940716,True,integer optimal solution,"[0.     0.     0.     0.161  0.1549 0.1564 0.     0.     0.1197 0.
 0.     0.063  0.     0.1057 0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.000e+00  0.000e+00  0.000e+00 -1.900e+01 -1.294e+03 -1.000e+00
  0.000e+00  0.000e+00  1.000e+00  0.000e+00  0.000e+00  1.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  0.000e+00  1.000e+00  0.000e+00  0.000e+00  0.000e+00 -0.000e+00
  0.000e+00  0.000e+00]",0.1617342078984676,0.1617342078984676,0.0,23,0,0,0.0,0.8158929660346358
14,0.06299998452436417,True,integer optimal solution,"[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.063  0.     0.     0.     0.     0.     0.     0.     0.0553
 0.     0.     0.     0.     0.     0.    ]","[ 0.  0.  0.  0.  0. -0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0.  0.  0.]",0.063720277288147,0.063720277288147,0.0,23,0,0,0.0,0.11833330506719741
15,0.05533332054283324,True,integer optimal solution,"[ 0.      0.      0.      0.0365  0.      0.      0.      0.     -0.
 -0.      0.     -0.      0.     -0.      0.      0.      0.      0.
  0.      0.0553  0.      0.      0.      0.     -0.      0.    ]","[ 0.  0.  0. -1.  0.  0. -0.  0. -0. -0.  0. -0.  0. -0.  0.  0.  0.  0.
  0.  1.  0.  0.  0.  0. -0.  0.]",0.05581856907613149,0.05581856907613149,0.0,35,0,0,0.0,0.09187256570265379
